barcode,sku,reason,start_date,end_date,campaign_status,discounted_price,max_no_of_orders,price,active
00000100038282,100038282,,,,,,,6.99,1
00000100038286,100038286,,,,,,,4.25,1
00010181000089,10181000089,,,,,,,12.25,1
00010181022005,10181022005,,,,,,,20.75,1
00010181023002,10181023002,,,,,,,21.49,0
00010181024009,10181024009,,,,,,,40.25,1
00010181025051,10181025051,,,,,,,25.49,1
00010181040313,10181040313,,,,,,,39.25,0
00010181040351,10181040351,,,,,,,45.99,1
00010181040603,10181040603,,,,,,,41.49,1
00010181040702,10181040702,,,,,,,48.49,1
00010181066177,10181066177,,,,,,,17.25,1
00010181066184,10181066184,,,,,,,17.25,1
00010181066207,10181066207,,,,,,,21.99,1
00010181066405,10181066405,,,,,,,24.25,1
00010181066702,10181066702,,,,,,,29.49,1
00102021038717,102021038717,,,,,,,18.49,1
00103010306312,103010306312,,,,,,,14.99,1
00103080032111,103080032111,,,,,,,19.75,1
00103080039820,103080039820,,,,,,,11.49,1
00103080150211,103080150211,,,,,,,17.25,1
00105010231915,105010231915,,,,,,,28.75,1
00105121384012,105121384012,,,,,,,13.99,0
00010900035163,10900035163,,,,,,,14.99,0
00010900035187,10900035187,,,,,,,14.99,0
00010900035200,10900035200,,,,,,,14.99,0
00010900035217,10900035217,,,,,,,16.25,1
00010900035224,10900035224,,,,,,,12.75,0
00010900035231,10900035231,,,,,,,7.49,0
00010900035828,10900035828,,,,,,,17.99,0
00010900035835,10900035835,,,,,,,22.99,1
00109000358804,109000358804,,,,,,,11.49,1
00010900100847,10900100847,,,,,,,7.49,0
00010900100854,10900100854,,,,,,,18.99,1
00010900100878,10900100878,,,,,,,9.25,1
00011210000698,11210000698,,,,,,,32.99,1
00011210007253,11210007253,,,,,,,13.25,0
00011210600133,11210600133,,,,,,,14.49,0
00115030128218,115030128218,,,,,,,9.25,0
00012000002090,12000002090,,,,,,,1.75,1
00012000002489,12000002489,,,,,,,2.99,1
00012000002496,12000002496,,,,,,,2.99,1
00012000002533,12000002533,,,,,,,2.99,1
00012000002588,12000002588,,,,,,,2.99,1
00012000002632,12000002632,,,,,,,2.99,1
00012000014338,12000014338,,,,,,,1.25,1
00012000018251,12000018251,,,,,,,5.75,1
00012000020742,12000020742,,,,,,,5.75,1
00012000022760,12000022760,,,,,,,2.99,1
00012000022890,12000022890,,,,,,,4.25,1
00012000038044,12000038044,,,,,,,6.49,0
00012000045271,12000045271,,,,,,,3.49,1
00012000051654,12000051654,,,,,,,2.99,1
00012000051661,12000051661,,,,,,,2.99,1
00012000051678,12000051678,,,,,,,2.99,0
00012000051685,12000051685,,,,,,,2.99,1
00012000051692,12000051692,,,,,,,2.99,1
00012000051708,12000051708,,,,,,,2.99,1
00012000052330,12000052330,,,,,,,40.25,0
00012000052354,12000052354,,,,,,,40.25,0
00012000052385,12000052385,,,,,,,40.25,0
00012000052392,12000052392,,,,,,,2.49,0
00012000052422,12000052422,,,,,,,2.49,0
00012000052880,12000052880,,,,,,,2.99,0
00012000052903,12000052903,,,,,,,2.99,1
00012000055744,12000055744,,,,,,,6.49,1
00012000055775,12000055775,,,,,,,5.75,1
00012000055782,12000055782,,,,,,,5.75,0
00012000058806,12000058806,,,,,,,9.25,1
00012000058813,12000058813,,,,,,,9.25,1
00012000058820,12000058820,,,,,,,9.25,1
00012000058837,12000058837,,,,,,,9.25,1
00012000058844,12000058844,,,,,,,9.25,1
00012000101564,12000101564,,,,,,,10.49,0
00012000108037,12000108037,,,,,,,4.25,1
00012000520327,12000520327,,,,,,,5.75,1
00012000520334,12000520334,,,,,,,5.75,1
00012000520358,12000520358,,,,,,,5.75,1
